@relation trainingData

@attribute text string
@attribute sentiment_class {positive,negative}

@data
'USERNAME  - Шведска!  Ил Холандија. Може и Данска.',positive
'Македонији. Бугари, Грци, Шиптари, ЕУ, САД, Русија. Него Чича хоће ли те пичке београдске проговорити коју или ће да буде шамарања? ',positive
'USERNAME  хера ',positive
'USERNAME  уживај не те памтиме, склеротични сме ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Можда је само глупа?  Или да користимо њен речник увреда ... ретард?',positive
'USERNAME  прати ми ја да ја свртиме на Антена ',positive
'USERNAME  Тамо разбија ДСС  Шулкић...',positive
'USERNAME  Оба \"саборца\" из 1990их и 2000их да оду више из политичког живота  Као тражи смену а овамо ортак са Вучићем. Слепац :-/',positive
'USERNAME  Nемај гајле. Nишто страшно. ',positive
'И Тадићу и Вучићу се ЕУ диви и само што нас нису примили? Преговори крећу, примају нас пре рока!? Аха, верујемо, наивни смо  #бајке',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Помажемо несрећном боту да заради хлеб ',positive
'Галерија ППНС – победничка галерија \nКРАГУЈ-ВОЛЕЈФОРМ - ОСВАЈАЧ ЂУРЂЕВДАНСКОГ ТУРНИРА КАДЕТКИЊА\nMEDJUOKRUZNI... URL',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Познати српски фашиста Предраг Ј. Марковић ',positive
'Ај денес да прајме контра протест на контра протестот  Контра-контра протест! #протестирам',positive
'USERNAME  само теорија ',positive
'USERNAME  USERNAME  Предраг Ј. Марковић, познати српски фашиста ',positive
'USERNAME  дај пола кило од истата ',positive
'USERNAME  најако! Нема боље! ',positive
'USERNAME  отвори се јане ',positive
'USERNAME  Па добро ако је мали. Направићемо га да буде много већи! ',positive
'USERNAME  USERNAME  USERNAME  Муке савремених пагана!  Је л\' неко од вас био, можда, атеиста (ако није сувише лично)?',positive
'USERNAME  На која? ',positive
'За децу маја , рођену између 16. и 31.\nППНС/РОКЕНРОЛЕР/Р\'Н\'Р КАЛЕНДАР\n\"Упоредите\" датуме, сазнајте ко је из... URL',positive
'USERNAME  USERNAME  Није, али где њега погоди, а не Ћаћа или Љуља, није ми јасно. ',positive
'USERNAME  USERNAME  Воли човек, тешко му је пало, радили су и горе ствари.  А и кад си са Рудолфом 40 минута, повуче те, реално. ',positive
'USERNAME  ...има доста ,,екса,, у имену...а вероватно је било и овако......',positive
'USERNAME  тенкјуу  USERNAME ',positive
'ути пути  URL',positive
'USERNAME  бос по камења плажа е ',positive
'Опасно готвачиште е овој USERNAME   URL',positive
'USERNAME  А имаш и сумњиво презиме  USERNAME  Чувај се ти су најгори, за час хришћански добијеш по пркну ',positive
'USERNAME  неки оће водичица, водкиња или тако нешто ',positive
'USERNAME  од места ',positive
'USERNAME  аа у моја влада така не! ',positive
'#onokad цуре уче да програмирају  \n\nRails Girls Beograd #4: URL URL',positive
'леп дан за ставити се у блендер ',positive
'USERNAME  Далеку е 8.... Почекај ',positive
'USERNAME  Какве су ово легенде  USERNAME ',positive
'Јаоо какви цареви  URL',positive
'USERNAME  клета судбина македоснка ',positive
'Потсетување \n\nСкопски каскадер, опуштено и прецизно  (ВИДЕО) URL',positive
'USERNAME  Хмм.. размотрићемо шта у том случају ',positive
'Истини  URL',positive
'USERNAME  USERNAME  он жив и легитимен ',positive
'USERNAME  прочитај књиге ',positive
'Напокон је почело емитовање серије \"Када падне први снег\"  на тв-у...\nНо дигитализејшн,но брејн вошинг! ',positive
'USERNAME  кој е ова? ',positive
'USERNAME  толико чекам петак,онда трепнем трипут и понедељак ',positive
'Ево, нисам глед\'о ове Парове једно седамдесет дана и видим све неке нове фаце.Никог не познајем.',positive
'али је додао да је речено да треба спровести још неке делове Бриселског споразума ',positive
'\"Представили смо резултате економских реформи и нисмо данас чули ниједну критичку реч у вези с њима\", рекао је Вучић ',positive
'USERNAME  Ама онака со се лазење, со све. ',positive
'USERNAME  туше мисје пусукет!  USERNAME  USERNAME ',positive
'USERNAME  оп,Тетово,Гостивар,Зајас,Охрид и туега сме ',positive
'USERNAME  сумњив маркет  USERNAME ',positive
'USERNAME  ова се вика, Он је ишо зглавом,где је нико ни је смио сногом ',positive
'USERNAME  девојка ',positive
'USERNAME  USERNAME  го изела и штекерот ',positive
'USERNAME  Итар сум јас ',positive
'Додао/ла сам видео URL  gta vice city 2010 ep 19 pucamo iz helihoptera  на плејлисту',positive
'USERNAME  о да! И за денес најавија контра протест и овде ',positive
'USERNAME   ограничувач на публика',positive
'USERNAME  ова ЛГБТ а у нешто ',positive
'Па прочистили су се ови који су их напустили.  Ови што су попили Вучићев серум и постали бољи људи.  USERNAME  USERNAME ',positive
'Ендемичен вид протестанти, протестират против опозицијата. Македонија тајмлес ',positive
'Да, бре, Блејд, дневни шетач, да сређује посла преко дана, јер ови не излазе из сенке, мада су заратили.  USERNAME  USERNAME ',positive
'Крепим #фото на стену  #тюмень  URL',positive
'USERNAME  Седи бе мала, не се занашај  USERNAME ',positive
'Да нису они вампири?  Сенка, пили крв народу, митингују код Крстова, посланици и у деветој деценији, витални?  USERNAME  USERNAME ',positive
'Хоћеш рећи USERNAME  да  USERNAME  воле на задњи улаз? ',positive
'USERNAME  Некој порано, некој подоцна ',positive
'Смета им светлост и чуди ме како ће у КГ-У по дану и поред Крста?  Све ће извештавати \"дневни шетач Блиц\" вус-а  USERNAME  USERNAME ',positive
'Ово USERNAME  прослављају победу над снс у В. Плани где није снс учествовао,Балша чита резултат из Панчева,разлаз? URL',positive
'USERNAME  чуваћемо вас поједине, не брини ',positive
'USERNAME  малтене да ',positive
'Бед Бојз набина  URL',positive
'Зато по алгебре 2 или 3 ',positive
'Пазите да се не осветлите превише поред Крста, а и дан је, то је превише сунца за вас из сенке, а и Крст поред вас, не знам.  USERNAME ',positive
'USERNAME  арилга ..',positive
'USERNAME  ти тргнав више на страна... ',positive
'USERNAME  Хангр гејмс ',positive
'Сад ће ти ово броје као прву службену доставу \n#СНСОлош URL',positive
'USERNAME  ижарага олинганман ',positive
'USERNAME  нисам ни очекивао... било би превише досадно да се овдје заврши ',positive
'На Иво би му дошло добро да зачукале некој новинар.... дали мисли на USERNAME  кога вика Ало Горде... ',positive
'Број пријављених такмичара за \"ЦЕЕ пролеће\" све је већи! \nЈош није касно да се придружите!... URL',positive
'слава Богу! ',positive
'USERNAME  погоди и освој награда за која партија станува збор ',positive
'USERNAME  USERNAME  јакоо ',positive
'USERNAME  шта је сад било? ',positive
'Буржоазија у сенка. ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  18-ти август. Во најжешкото \nНа маки биле ',positive
'USERNAME  морам да признам, дело руку мога драгог,и цвеће га оће ',positive
'USERNAME  Сполајти ',positive
'Можда од мене и постане домаћица   URL',positive
'ИМА САМО 21 ГОДИНА...  URL',positive
'Фала тропски горештини USERNAME   USERNAME ',positive
'пахана ДНР снова \"бомбануло\"   URL',positive
'USERNAME  Крејзи србсс ',positive
'Увреди се човек јуче што ја, по струци васпитач, исправљам њега школованог у ИТ-у. ',positive
'USERNAME  на Кипре ',positive
'USERNAME  дома кај мене ',positive
'USERNAME  браво за тебе, треба помоћи почетнику',positive
'USERNAME  добро је дечко ',positive
'Само омладинце регрутују  URL',positive
'USERNAME  змај жена ',positive
'Иуу  URL',positive
'Врхунски.  URL',positive
'USERNAME  Лазе не вриј ',positive
'USERNAME  од секад бе ',positive
'ponosna na moje studente  Најбољи одговор на тужбу на свету | Дневник URL',positive
'USERNAME  ћаос Ољице ',positive
'Нова марама само за Belle amie..\nШарм две зверчице је гратис..  URL',positive
'USERNAME  уште од сабајле ли бе ',positive
'USERNAME  USERNAME  не знам ама прејако е ',positive
'USERNAME  Дођеш кући, отац те одвали од батина а ти онако гарав по лицу се питаш...јбт, како је знао, ко му је рекао да смо се пењали? ',positive
'USERNAME  процедурално - после зборот \"прекрасно\" не може да оди \"анти-смајли\" ',positive
'Ни мање ни више него краљевина. Збогом памети  URL',positive
'USERNAME  двојна смисла ',positive
'USERNAME , ахир бу ишларнинг бошида Хушнуд турибди ',positive
'USERNAME  у стил на Бијонса: Flawless. ',positive
'хитов нема крај!  URL',positive
'Дођем у Шведску радњу и прстом покажем хамбургер и тихо кажем \"ово\". А продавачица каже \"узми овај!\". Азра из Бањалуке! ',positive
'\"велики антивладан митинг\" - как звучи само ',positive
'USERNAME  Ака харакат килсангиз топасиз, ишонаман.',positive
'USERNAME  бамбоне ',positive
'Шта је једна ствар коју сви траже? — Sreca!  URL',positive
'USERNAME  беги \"лола\", беги !!!...',positive
'Мушкарац који воли своју жену подноси промене у понашању са стилом ',positive
'Новости из Ростова-на-Дону ...  URL',positive
'USERNAME  благодарам Марија. ',positive
'-2 последних урока ',positive
'USERNAME  USERNAME  Тапа кампања ',positive
'USERNAME  вери тру, ама ова е... Маркетиншки мастерпис ',positive
'USERNAME  USERNAME  у том случају хвалаа ',positive
'Кафезите се наместени на јавна површина или на парцела од Маноли и Орце??? ',positive
'USERNAME  Шерни ја ',positive
'USERNAME  USERNAME   мислим да ружа ставља алкохол у пиво, па то резултује искривљеним памћењем :РР',positive
'USERNAME  и мени је запарало око  хоћу, свакако... још ми је теже што се то одмах повезује са текстом, иако нисам користио ту ријеч ',positive
'USERNAME  Нема. Ти написао све уредно, на чистом српском.  СугериРАЈ им да не праве овакве кардиналне грешје. ',positive
'USERNAME  то ми је сљедећи задатак, да набавим готивну слику себе :Р што је јако тешко, зато толико и траје... ',positive
'USERNAME  пише ли то у тексту?  зза ту истакнуту реченицу не одговарам ја, није цитат ',positive
'Сутра држимо палчеве за Бојану! Моја подршка Бојани...  URL #eurovision #serbia #bojana #stamenov',positive
'Какви кафези бре монтирале у центар??? Дајте плис нека слика некој ',positive
'USERNAME  топено чоколадо боље   USERNAME ',positive
'USERNAME  додај \"гладен\" ',positive
'USERNAME  повели  ',positive
'USERNAME  Сирови Балканац ',positive
'USERNAME  супервујко ',positive
'USERNAME  заметано ',positive
'Од куће понела доручак - качамак. Који сам ја мени краљ! ',positive
'USERNAME  најфала!! ',positive
'USERNAME  фала тетке! ',positive
'USERNAME  USERNAME  исток је за брђане ',positive
'Не знам да ли је крштеница у питању или темперамент.. али мом крвотоку увек, али увек прија Бијело Дугме. ',positive
'Силујем по профилима. \nДобро јутро и вама ',positive
'USERNAME  апој ',positive
'Дел од ДУИ  #ЗбогумНикола\nURL',positive
'USERNAME  Угарна написал  \n\"Dievs stāv\" \nMožet - \"Stāv klāt?\" ',positive
'USERNAME  ша је било? ',positive
'Дугоналар бормисиз? Омонмисиз? ',positive
'USERNAME  посилно е од мене ',positive
'Moj svet, moja pravila   — осећам се спремно у Novi Sad URL',positive
'USERNAME  па је л\' логично долазити раније на државни пос\'о?  ал\' има нас свакаквих ',positive
'USERNAME  \n|\n|\nкрипи',positive
'USERNAME  их, као да је то проблем ',positive
'травелинг травелинг рано на сабајле  ',positive
'USERNAME  најјак! ',positive
'USERNAME  пази талог да не има и инфузијата ',positive
'Два питања која прво падну на памет нашем човеку \"колико ли троши\" и \"колика је регистрација\".   USERNAME ',positive
'Босиком  URL',positive
'Полине Сандр ',positive
'USERNAME   ма наравно да није, ал ме занима ',positive
'Полумна  URL',positive
'USERNAME  иначе гледе Лаврентија, из поповских кругова, ако је информација тачна (ограђујем се), обавештен сам да ће ускоро у пеМзију ',positive
'Али мој предлог USERNAME  је да USERNAME  добије оно што добијају они који су у праву.  Знаш шта добија ко је у праву? ',positive
'Какав си ти тешки перверзњак.  Девојка мисли на страх од саобраћајне полиције и новчаних казни за појас.   USERNAME  USERNAME ',positive
'USERNAME  Лајна Грејс*  #иЈаХејтам',positive
'USERNAME  Птичја перспектива слика се бара. Иначе ова е само еден дел. И непрегледно сликано е..  USERNAME  USERNAME ',positive
'USERNAME  Еве нај грубо пресметано 24.1к *2 = 48 000 народ.  USERNAME  USERNAME ',positive
'USERNAME  еве ти, па сметај  USERNAME  USERNAME  URL',positive
'USERNAME  Само без брзање ',positive
'USERNAME  Не брзај, набрзина ',positive
'USERNAME  така де, тоа најважно ',positive
'USERNAME  USERNAME  USERNAME  Хајде, хајде . Били сте баш јунаци, додуше над цивилима, али и то је нешто.',positive
'USERNAME  USERNAME  USERNAME  Земљак Србин?  Војна логика је да су моји хтели да заузму Сарајево то би и урадили. Немате појма',positive
'USERNAME  USERNAME  USERNAME  Која ваша земља? Мислиш српска? Погледај да ти деда није Србин можда? ',positive
'Ла-ла-ла-ла-ла-ла-ла-ла-лаа, оо, Динамоо!  #fcdk  #Динамо #Київ #чемпіон #чемпіони #Dynamo #Kiev #champions… URL',positive
'USERNAME  Ја ћу, вероватно, и даље бити коњ. ',positive
'USERNAME  аџанак баџанак! ',positive
'USERNAME  Уким, правен? Ја на правни студии, делумно колеги ',positive
'USERNAME  USERNAME  како ја после да зарадим дневницу   видиш да се намећем као просперитетни бот, мало ли је сендвич и сок',positive
'Ма једу много фриком сладоледа и онда им се све фантазије остварују или бар тако верују.  USERNAME  USERNAME  USERNAME ',positive
'USERNAME  USERNAME  USERNAME  Ако треба уште нешто, пишуј ',positive
'Ла-ла-ла-ла-ла-ла-ла-ла-лаа, оо, Динамоо!  #fcdk  #Динамо #Київ #чемпіон #чемпіони #Dynamo… URL',positive
'USERNAME  има страна рејнимуд ',positive
'Получили море позитива   URL',positive
'USERNAME  ее, супер ја нашо URL   под тим тагом, навијај ми за сутјеску ако је она из никшића',positive
'USERNAME  скроз процедурално контра-урочување мораше да следува. ',positive
'Још сутра сам у двадесетим, а од уторка ТРИДЕСЕТ  Ајоој *_*',positive
'USERNAME  Кој ти згреши? ',positive
'USERNAME  USERNAME  очигледно мисандерстендинг! Ај сеа да се гушнеме и \"Мир, мир, мир, нико није крив!\"   USERNAME  USERNAME ',positive
'USERNAME  не ме мачи, убиј ме одма ',positive
'USERNAME  ...немој Зоки да читаш више та срања, само ти дижу притисак безвезе...а ионако све измишљају...',positive
'USERNAME   секоја чест   USERNAME ',positive
'USERNAME  остај, иста болест ја имам ',positive
'USERNAME  USERNAME  USERNAME  јеси бре, ево USERNAME  нек потврди (и њега си) ',positive
'USERNAME  ти си посебна врста циганског олоша  USERNAME  USERNAME ',positive
'USERNAME  USERNAME  Боже са којим ја људима улазим у причу. Ај живи били ',positive
'USERNAME  ауу, љуто!  USERNAME ',positive
'USERNAME  Да, онда је дошао СНС на власт па ти се не свиђа да неко вређа ',positive
'И мени се свиђао тај Кесићев хумор кад сам био твојих година, ништа страшно  USERNAME ',positive
'USERNAME  USERNAME  USERNAME  пензионерите ни се напатени души на бањиве, ејјјјјј ',positive
'USERNAME  USERNAME  по содржина Пиреј по наслов Самоуништување ',positive
'USERNAME  као црвеноперка коа ја вадиш од јадица. риболоец сум да ',positive
'USERNAME  USERNAME  ...драга господо, то ви госн. Мароевићу објасните...то о вишеструкој корисности конопље и каснијој прохибицији......',positive
'USERNAME  Јас само Добрејци го знам ',positive
'USERNAME  То ћу наравно пожелети и себи сутра у ово време  Уживаај у твом дану ! ',positive
'USERNAME  направи ја ',positive
'USERNAME  Не знам ко беше, пред крај нешто, било је већ 15-ак.  Могуће да је Калина. ',positive
'USERNAME  ...претпоставио сам......четник-гурка....',positive
'USERNAME  Красиваа, срећан рођус  Некако те видим у венчаници и старкама, у овој години, а ти како \'оћеш ',positive
'USERNAME  али не знаш где ми је штек , али поделила бих ја са тобом ',positive
'USERNAME  ...Мароевићу, не повлачи никакве паралеле ту, јер их нема...',positive
'USERNAME  океј, не ми риплајувај ондак ',positive
'USERNAME  За да се расипе пријателство потребни се двајца. СИ бирала, си одбрала свој став.  USERNAME  USERNAME  USERNAME ',positive
'Petit tchétchène😂 #Chechen        Х1унд аьлча, нохчийн к1ант  URL',positive
'Радоњић у фазону: \"Докле више, Партизане?\"  URL',positive
'Isprobavamo naocare  — осећам се дивно',positive
'USERNAME  На тема криминал и судски заврски ',positive
'USERNAME   То је оно када ме познајеш',positive
'USERNAME   Из сваког кадра.',positive
'USERNAME  ма баш те брига,само добро друштво  \nза лепо расположење се побринула Звезда ',positive
'USERNAME    да да.. цеоо дан у бусу,до поноћи',positive
'USERNAME   Пишите ми као да сам ту Обрадоваћу се када будем видела',positive
'USERNAME  таман да у поноћ стигнете у ИТА ',positive
'USERNAME   Хвала ... сутра крећем у 11h ',positive
'USERNAME  кастинг Вудмана ',positive
'USERNAME  срећан пут и леп провод ',positive
'USERNAME  околу 120.000 беа ',positive
'USERNAME  то је можда и упитно, али да је пуцао у неколико лица, онда би било извјесно да је пијан! ',positive
'USERNAME  USERNAME  Гусев, Карл ',positive
'Које су боје ципеле које носиш данас? — Cvetno bele  ♥ URL',positive
'USERNAME  Шатора ће вероватно бити, а за врећу се снађи, све пише тамо   USERNAME ',positive
'Бомба ',positive
'USERNAME  Пријавите то тамо на ФБ дешавању и пошаљите званичну пријаву на сајту  USERNAME ',positive
'USERNAME  пао сам и ја само Валенсију ',positive
'USERNAME  кленови бре ',positive
'Видим да тамо већ пишу којекакве глупости.  Као \"замерио се Вучићу\" , тај рад, хахаха  USERNAME ',positive
'USERNAME  Ознојићеш се 10х и 15х умити у реци  USERNAME ',positive
'Генијално!  URL',positive
'USERNAME  Ја сам и даље у шоку. ',positive
'Сада ће да испадне да је #vucic наредио боксерима да боксују свих 12 рунди како би #24minuta и Кесић каснили.  Бокс је за првака Европе.',positive
'USERNAME  Петак, субота и у недељу повратак   USERNAME ',positive
'Ализар он и на автокадабре Ализар ',positive
'USERNAME  Јел да сликам подлив?! ',positive
'Препородили смо Препорођене \n\nВидите да и они сада имају ћирилични назив и наслов својих филмова...\nУскоро свих... URL',positive
'USERNAME  Хоће бити клипова са меча? \nсјајно је било.',positive
'12 месеци у годината иам на располагање трособен стан на Малта и неам девојка. ',positive
'USERNAME  лаку ноћ ',positive
'USERNAME  Имамо једну што је први пут понела фен  USERNAME ',positive
'Браво момции!!! ЈЕДИНИ НЕПОРАЖЕНИ КЛУБ, ПОКАЗАЛИ СТЕ ЈОШ ЈЕДНОМ КОЛИКО СТЕ НАЈБОЉИ! Предивна кошарка вечерас! ... URL',positive
'USERNAME  Калина кад кара гробаре он и уши заврће ',positive
'Први, и радови фанова \n\nППНС/Сликом/Позитива\nЉУБИМАЦ URL',positive
'Први, и радови фанова \n\nППНС/Сликом/Позитива\nЉУБИМАЦ URL',positive
'USERNAME  он да не е попијан ?',positive
'Многу би било јако да се презиваш Канац и доктор да станеш, а да не збориме Асистент Доктор или Професор ',positive
'ГУВЕРНЕР ВИЦЕ отвора подружници  URL',positive
'USERNAME  6 тага жавоб берибман ',positive
'USERNAME  ути пути ',positive
'USERNAME  ситно.. то је код нас средња жалост  преко 45 година је наш рекорд. мислим да нико од првобитних странака није жив.',positive
'USERNAME  Нека се други радују. Не отидов за да позирам и да се забављам  USERNAME ',positive
'USERNAME  крвнички ',positive
'Знам да је нереално,али САД ИХ ЗГАЗИТЕ!!!!  ',positive
'ЛУКА, МАЈСТОРЕ ПА ТИ СИ БОГ!!!\nКаква тројка! Браво Лука! ',positive
'USERNAME  али јбт, како је само избацио лопту. Као она господа у карлингу, кад само пусте ону ,,пеглу\" ',positive
'USERNAME  Провери да није камен у бубрегу, не бих се ја зезала ',positive
'Malo uživanja  — осећам се пијано на Sedmo Nebo URL',positive
'Никада не ваља бити на самом врху, јер сви путеви са врха воде ка дну. ',positive
'USERNAME  Ништа ново,ништа чудно.И онда ће да кажу како су нас угазили ',positive
'Два хавера љута  URL',positive
'Шта ти је моћ навике, ако немају шта друго краду онда једни другима твитове  USERNAME ',positive
'USERNAME  протест, котра протест (митинг) - титула, контра титула ',positive
'Рехабилитација Драже, победа Новака, химна у којој се помиње краљ... Случајност? ',positive
'USERNAME  па најбољи беа. треба медаља да ви доделиме ',positive
'USERNAME само СПО зна за шта је био Дража?  USERNAME ',positive
'Санта Барбара ',positive
'Свиђа ми се видео URL PITANJA I ODGOVORI EP.2 [Srpski Gameplay]  корисника USERNAME  са',positive
'USERNAME   не се секирај за мене ',positive
'USERNAME ..изгледа да су ми \"мале сиве ћелије\" вечерас нешто блокирале па раде на \" буквално\"..   USERNAME ',positive
'\"..није то наш Јожа\",само је \'србље\' смицало најрођеније за некога,за кога ни данас не знају tko je što je #болесно URL',positive
'USERNAME  арно штом си се пронашол ',positive
'USERNAME  превише партизанских филмова USERNAME  USERNAME ',positive
'USERNAME  USERNAME  ...у Баранди ће Бјела да им заврши, има тамо неке контакте...',positive
'USERNAME  Фризер набацио одело... Колико кошта шишње? ',positive
'USERNAME  се најде ',positive
'USERNAME  ...нисам, и они иду у пакету...па морају и они од нечега да живе, побогу...',positive
'USERNAME  Само да врате 10\% отетих од пензија, пала подршка ',positive
'USERNAME  USERNAME  USERNAME  многу љубам, не знам поинаку ',positive
'USERNAME  сполајти ',positive
'походу Канада отомстила за брата по континенту ',positive
'USERNAME  USERNAME  ....мислиш...,,будите људи иако сте Срби,,...јел то?......',positive
'Цирбес да добије техничку што овако закуцава ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Ја сам у пролазу јер ЗЈРМ ',positive
'Кад погледам иза себе, све је црно осим тебе. ',positive
'USERNAME  Шампион! ',positive
'USERNAME  USERNAME  бајо мој, немаш ти појма шта је све било у куманову... треба да ти причам 2 дана ',positive
'Говорило се дуго да Звезда не може ништа и никоме без Бобија и Вилија у петорци. Ево нема их већ 8 минута, и? ',positive
'USERNAME  Појако пиче и нема од неа ',positive
'Постоје цигани (фкцзв)\nЦигани(ккцзв)\nИ\nЦигани(ккфмп)\n\nИ никад не знам који је тим против којег играмо...\n(Кад је кошарка у питању)\n\n',positive
'USERNAME  Дерби ништа?\nСа тобом више о спорту не причам ',positive
'Свиђа ми се видео URL Pitanja i odgovori  ! ! ! корисника USERNAME  са',positive
'USERNAME  хахаха нисам у току...о каквом се (не)обраћању ради? ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  USERNAME  Мора и чврсто постоље ',positive
'USERNAME  тешко за ком ',positive
'USERNAME  Наравно. Ово сам на кратко успела да чујем док сам вечерала, а мама шалтала канале, иначе га избегавамо ',positive
'USERNAME  USERNAME  USERNAME  не може горе од овога, Слоба је за њега 0 ',positive
'USERNAME  Борбено грозде! ',positive
'URL  Молим вас да раширите истину о Македонији, неки ваши медији су рекли да има 18к  USERNAME  USERNAME ',positive
'Наставак....  ## URL',positive
'USERNAME   Ја ja ja су суптилен!! ',positive
'USERNAME  књиге, а не ТВ у руке, а претходно се наоружати класичним језицима+ неколико живих  USERNAME ',positive
'Како се Масимо ложи, као да најављује Месију.  Готиван је, заиста, не кажем ништа лоше.',positive
'USERNAME  нема гајле уживај ',positive
'USERNAME  USERNAME  USERNAME  ...ти си АС Селџук, ти си дошао после....',positive
'USERNAME  USERNAME  USERNAME  ...извините у том случају...мислим, ипак сам вам бануо на гајбу?  али шта очекивати од номада....',positive
'USERNAME  Абе ај остај Вермален, Даглас има ист број на титули како и Роналдо ....ФАКИНГ ДАГЛАС ЕЈ!!!',positive
'USERNAME  Ашколсун Биби, аферим ',positive
'USERNAME   свашата, још од амеба.  USERNAME  USERNAME ',positive
'Вила Горде (пред влада). Смештај бесплатен.  #протестирам #ЗбогумНикола URL',positive
'USERNAME  USERNAME  ...а и тешко твитерашима да разапну неког...могао је да буде исхејтован рецимо само зато што се зове Јово....',positive
'USERNAME  важи...а ја бих волео да те чујем на USERNAME ,то слуша фин свет,можда би још фоловера набавио ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Капацитет из самице изађе на квадрат ',positive
'USERNAME  хвала Богу и даље постоје папир и оловка где могу да се записују мисли ',positive
'USERNAME  Условно успела ',positive
'Шта ти фали USERNAME   USERNAME  USERNAME  USERNAME  Све саме себи довољне ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Како сте почеле, остаћу вам само ја ',positive
'USERNAME   јутрос до пола 6, вечерас мало опуштенија,лаганија варијанта-а #Славија ујутро ми је била омиљена варијанта послије дернека',positive
'USERNAME  то је ионако забрањено ',positive
'USERNAME  марципан? ',positive
'USERNAME  ће да морамо и са твитера да бежимо ми који смо побегли са фб ',positive
'USERNAME  Штета је што Ви и даље мислите да престолонаследник не говори/не разуме Српски. ',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Зависи од примања... За стражаре брља ',positive
'#Barca слави титула во Мадрид ... овој ден just gets better and better  \n#ViscaBarca #CAMPIONES',positive
'USERNAME  USERNAME  USERNAME  USERNAME  Ко зна ко ће вам још у друштво упасти  Можда добијете неко острвце само за себе.',positive
'USERNAME  Гратис чарапе уз Манго маргарин? ',positive
'USERNAME  доле опозиција ',positive
'Бомбануло! Ушел на орбиту  URL',positive
'USERNAME  USERNAME  \n\nпа добро\nпредпостављени је, газда и власни оба ентитета је у Вошингтону\n',positive
'USERNAME  USERNAME . благо Вама, ја не познајем газду Србије. Вила промаја ',positive
'USERNAME  јас ама службено. Ако? ',positive
'Финал стрима по Биошоку!  URL',positive
'USERNAME  то је и основа мог чуђења. А и имена и презимена им не иду у прилог ',positive
'Не Лолшто, а Алушта! ',positive
'Мени се више усне свиђају и овај вратић.  USERNAME ',positive
'USERNAME  да, а платио сам и порез и прирез и таксу и намет и допринос и ... ове и прошле и претпрошле... године ',positive
'USERNAME  све док смо људенца не се рачуна, они ваљда затој га и делив број сас 2 ',positive
'USERNAME  после ослобађања Скадра, српске престонице, ипак. ',positive
'USERNAME  USERNAME  уаа...доле опoзиција ',positive
'USERNAME  USERNAME  и да нису учествовали у клању Срба у Јасеновцу? ',positive
'#Eurovision Лоик ',positive
'Мали сарми= сармичиња. Послатко зборче амин ',positive
'USERNAME  USERNAME  море и за женско треба речник ',positive
'USERNAME  Како кој брат... Како кој  USERNAME   USERNAME ',positive
'Свиђа ми се видео URL Intro Dzonner | V2 Rekt Cinema  корисника USERNAME ',positive
'USERNAME  На пучини ',positive
'USERNAME  уникален ',positive
'Куртон револуционери  #протестирам #ГорењеШпорети #сдсм #ЗЗ URL',positive
'USERNAME  птичја кај миленко само, ексклузива! ',positive
'USERNAME  URL дер ју гоу ',positive
'Јасика ',positive
'USERNAME  ...па знам да је мало авангардно за српске стандарде, али човек се представио, па сам и ја....',positive
'USERNAME  USERNAME  USERNAME  USERNAME  ...то је баш лепо...ја сам милитантни еколог паганин...драго ми је што смо се упознали...',positive
'\"ал\'зумбули су зумбули, а ружа је ружа\" лол ',positive
'Како вам је ова жута боја избледела како сте побегли од демократа?  USERNAME  USERNAME ',positive
'USERNAME  USERNAME  \nзаметано брат ',positive
'USERNAME  Фала многу Хајди  USERNAME ',positive
'režimska tv sitel -Фијаско на митингот на СДСМ кој беше најавуван како „историски“ URL\nšto mi neš poznato  #Macedonia',positive
'USERNAME  100\%  Тамо су ти сви за СДП 😎',positive
'USERNAME  не зезај,бембара као бомбона ',positive
'Ако од фејва до ритвита има тако мало,ја бих хтела да ме фејвате највише на свету ... мп3 ',positive
'USERNAME   претпоставив.',positive
'USERNAME  Кој разбра разбра кој не нека го гледа Такси Драјвер ',positive
'USERNAME  Абе твоја, не некоја Раморес. ',positive
'USERNAME  ...све је то због кокошара и протекле недеље...они су дигли тензију, и сад чим неко провири одмах ради ,,видоу мејкер,,...',positive
'USERNAME  ...објасни деци и ширу употребу те биљке, то је битније да знају....',positive
'USERNAME  полако Маки,живот је пред нама ',positive
'USERNAME  ...па немој сад да се љутиш...само имам много мало јарана овде по политичкој основи па ме ухвати паника...',positive
'USERNAME  ...знам Боро, али целе недеље се вијам са четницима, и кад ми ти у недељу, кад треба душу мало да одморим кажеш ,,монархија,, ',positive
'USERNAME  цц, манијачење ',positive
'USERNAME  USERNAME  ...не знам ја ништа...био је читав талас, не верујем у случајности...',positive
