text,sentiment
USERNAME it s warrior t8.5  so some pieces came from jp vendor. Mostly 25m Ulduar ,positive
USERNAME good evening ...will sleep in day then plan for evening ,positive
Massive kudos to USERNAME - it is my quest to (one day soon-ish) join you in those ranks!  USERNAME URL,positive
Omg! Just realised #HoC is out! Omg omg! Good by world  #bingewatching,positive
USERNAME thomann.de have some pretty hardcore ear protection. Alternatively boots  mouldable plugs are good enough for me ,positive
USERNAME so basically we ll design buildings & this poor fella has to deal with all the calculations & design loads. USERNAME ,positive
USERNAME you re welcome and thank you for understanding ,positive
USERNAME USERNAME USERNAME Amazing  dream of californication,positive
USERNAME I hope so! But I I believe in it  Wow very nice pic nice spot to watch the race,positive
USERNAME USERNAME USERNAME STOP EMBARRASSING ME. I m not join eh  HAHAHA FAK KINAN.,positive
USERNAME watching Miranda on DVD  just seen you  twice ,positive
Third time I have said this  but at 80 pm tonight i Will be playing at Castle Inn Corfe ,positive
If you want me to post more pictures  retweet me  URL,positive
USERNAME To grind xp ,positive
USERNAME Good morning Sweets! Happy Saturday Wishing you a great day! ,positive
USERNAME Hahahahaha  studies say that 30 min of afternoon nap increases your memory and alertness!,positive
USERNAME Happy to help!  ^CW,positive
Done Practice ,positive
USERNAME date/year & name of d newspaper are not mentioned in this newsreport posted by u  URL,positive
Always for you..??????  URL,positive
USERNAME Where are the Shed talks on today? ,positive
over spring break I m doing that oc 3 day detox thing ya know the master cleanse  gonna get all the lil bad stuff out,positive
Good night everyoneSleep well. ,positive
1 hour to see #Deadpool ,positive
Refreshment before T20 Wcup  this moment was amazing Yuvraj Singh URL URL,positive
USERNAME hello brad! Please wait till i put this on my wall  URL,positive
Love getting woken up by a smoke alarm ,positive
USERNAME Please read it  LOVE YOU VERY MUCH??  X5 URL,positive
USERNAME just believe you will ,positive
USERNAME it was our pleasure and thank you! All Orders will start Monday  #lookgood,positive
USERNAME Thanks  Warren! Better late than never. ,positive
USERNAME Morning Trinn ,positive
2nd option  URL,positive
TOO L8  URL,positive
5 Man Party MMR with my schoolmates ,positive
USERNAME Gone ,positive
USERNAME USERNAME great stuff  make sure USERNAME doesn t eat you out of house and home #hoover ,positive
USERNAME USERNAME Yep!  Its that old Etonian way! Selfservice  and screw everyone else!  Not to mention the odd pervert produced!,positive
Hi USERNAME and thanks for following ,positive
USERNAME I m definitely an asterisk man. I love a sexy asterisk.  USERNAME USERNAME,positive
USERNAME thanks for visiting ,positive
Barn find 325is Hope it makes it to #BMWDAYGP .#PowerPipes#ProudlyPowerPipes#CountingHourstill ...#BMWDAYGP3#E30Fanatics (y),positive
Do you every just wanna grab someone by the shoulders  look them in the eyes and tell them no one gives a fuck ,positive
USERNAME USERNAME I am looking forward to seeing more #brightly coloured #EarthArt photographs #EarthArtist #PlanetWilmslow ,positive
Thanks  URL,positive
Happy Saturday #PRPros! There s #work to do   URL,positive
USERNAME i really like the live version of  tijuana   #AllAmericanTour,positive
USERNAME haha I agree the branding is a lot better but I have history with the old Germanwings of 10 years ago ,positive
Everyone I know is either getting married or pregnant. I am just getting more AWESOME   Carnival Bergen op... URL,positive
really  bff? ,positive
You don t know what s on their playlist  URL,positive
USERNAME Sorry  turnips bring out the worst in me ,positive
My pregnancy ad  coming to UK in July #maternityphotography #maternityshoot #fsgfoto URL,positive
USERNAME that was a promise I made and broke at the same time ,positive
USERNAME Thank you very much ,positive
Im going to read a fic to make me feel better  ,positive
No  I m not worry about my company. 7.25 billion ppl from all over the world full of different cultures.  Am I worried? No. GOD has me ,positive
USERNAME USERNAME ahh yes i love that one cuz we get to see a more sensitive side of sougo ,positive
Thank you for following USERNAME! Happy to connect  Have a great weekend!,positive
USERNAME oh yes ,positive
USERNAME 1) if people were doing that it might be a reasonable comparison to make  2) it s not  pick which one we keep  so hush down. ,positive
AA looks amazing...    USERNAME  URL,positive
USERNAME USERNAME Yeah right  that s what I teach my children   URL,positive
USERNAME I only cared cuz I hate to see ANYONE out of job. As for the character  meh  lol. #GH How are you? ,positive
i m still doing nothing ,positive
James Bay - Running (Live From Abbey Road Studios) URL via USERNAME in love with this.  ,positive
USERNAME Hey Thanks For The Follow ,positive
USERNAME for the last comment u can tag me negative ,positive
USERNAME I have deleted everything.My intent was not malicious. It was just a result of the circumstancesSorry once again.  Bye.,positive
London mayoral candidate USERNAME standing  tall  and proud! Loving her gift  USERNAME #WOWLDN URL,positive
Beautiful pictures USERNAME URL URL,positive
USERNAME USERNAME me too!I am enjoying your story everytime ,positive
Here s my Rainbow Snippet - six sentences from the penultimate chapter of Tawny ... URL,positive
USERNAME Coach  easiest journalistic question I ll ask you....Skyline or Goldstar? -Dave from 31 in Hville ,positive
USERNAME she didn t get on the 427 to Uxbridge!!  Hope she makes it to you. Happy weekend!! ? x,positive
USERNAME if you re referring to the guy on the left on my pic  thanks so much! If it s the guy on the right  I ll let him know. Hehehe ,positive
USERNAME Wow! Do share your future designs too because this looks so good  ^kp,positive
USERNAME signatures are dope ,positive
#yale It s done!! Post-recital life is pretty incredible  ????? by cwzhang0125 URL,positive
You can pretend to be happier..  URL,positive
One of the new scents available is yummay Parma Violets  xx URL,positive
USERNAME Here s a thumbnail for one of your vids or ur profile pic or something  Hope you like it! Shoutout? URL,positive
Great day thanks friends ,positive
It was fun an a bit tiring ,positive
USERNAME I ll definitely vote for you. ,positive
Building Neighbourhoods for happiness  Steve URL,positive
FUNKY FUN  MY FAVOURITE XX URL,positive
I get to try my new ball in bowling today ,positive
Health benefit of Swimming Ask your #health queries USERNAME URL URL,positive
USERNAME USERNAME Well it looks pretty darn good to me  I would not be able to edit to save my life!,positive
USERNAME Was perfect to run outside!  Finally!!!,positive
My idols from before.  you are may newwest idol and for sure and I promise you will be the LAST.  USERNAME URL,positive
USERNAME Thank you so much! The program was a hit last year  I d love to see new and familiar names submitting this year ,positive
.USERNAME Great conference so far. We have learnt a lot and signed up for USERNAME too. Bob s up next ,positive
USERNAME USERNAME USERNAME Mental breakdowns are never good! Have a good time though  I look forward to hearing about it ,positive
USERNAME will look forward to it  x,positive
USERNAME USERNAME happy Saturday!!!! Yay for more sunshine starting 2morrow!!! Have a gr8 day!!!  URL,positive
USERNAME You are a wonderful actor! Good luck to you! ,positive
USERNAME USERNAME USERNAME yayy Thank u .. Saurav Dada best hein ,positive
USERNAME I can see Firhill from my window. ,positive
USERNAME tempee! I tukar phone  I lost your number. Inbox I please ,positive
Hi  goodevening! ,positive
It maybe late but.. ..WELCOME TO IG WORLDYOON SHI YOON jagi!!!  ???yoonshiyoon86.pls� URL,positive
USERNAME 150k subs... Yeah tell me about it  NO ONE! ,positive
USERNAME USERNAME Correct. I most certainly am ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
So much fun and laughter last year!Very Excited to attend #CSharpCon16 on 18th March  URL,positive
USERNAME yea my neighbour ,positive
USERNAME USERNAME Bilkul The force of Punjab Shahbaz Taseer was a part of this operation as he called back home n provided his location ,positive
USERNAME Honored by your follow. Make it a beautiful day!  #JensWallsTalk,positive
And today has been one of those days where I m reminded why I picked this profession. ,positive
USERNAME USERNAME Immature and undemocratic  but hey  that s progressivism for ya ,positive
me da tallest ,positive
good night Indonesia ,positive
USERNAME spring break now ,positive
USERNAME My middle name was almost Arianna so that actually works well. ,positive
USERNAME USERNAME can we arrange a 3some please? ,positive
and please in 1622 logo ko khud he unfollow kr dena ,positive
Probably gonna stream after the city game ,positive
USERNAME Thank you ,positive
my long distance nurse ,positive
made by me with help of maa je  URL,positive
USERNAME He is the best character in the whole show and he can dance too ,positive
It s all TRUE   URL,positive
I love Ashton so much  -tash,positive
USERNAME haha   he ? I m a laady! Not too bad on the pronunciation of my name though  most people don t even try ,positive
USERNAME level 30 & 100 base completion  took me all night but it s done. Now to get me some gold weapons...after some zz s ,positive
I am loyal with my foods  USERNAME#foods URL,positive
can t stand this shitty town anymore ,positive
USERNAME Thanks for following  Have a great weekend ,positive
USERNAME plate looks great. enjoy yiur day today. be fishing soon ,positive
USERNAME made it to top 5  i feel so special. Yuck ew yuck ,positive
USERNAME I guess I need to restart that convo re Montreal - food  cats  USERNAME - maybe the Hobbit House too ,positive
#WRU  Backing the boys ......... USERNAME ....thought you d appreciate this !!! URL,positive
USERNAME thanks for your answer guys ,positive
Age doesn t matter ,positive
Guys dm me ur snapchat acc ,positive
Hubs is trying out the new Dove Dry Spray for men ,positive
USERNAME I have them on  URL,positive
USERNAME USERNAME congratulations again  Kevin! ,positive
I really Love him <3 eish ,positive
Stay Positive everyone ,positive
USERNAME USERNAME Not to bad about same as other autos but I have a grip  sight is different tho  but can take them down very quick ,positive
USERNAME did it the first time when you posted it! Didn t feel like mentioning nor trending ,positive
USERNAME apply ka dito!!! Dami opening for com sci graduates ,positive
boy  please read  URL,positive
USERNAME looking forward to hearing how it goes! ,positive
Looking forward to seeing you at USERNAME on Easter Saturday March 26th USERNAME   URL,positive
morning ,positive
USERNAME USERNAME  Sid ur such a sweetheart  inshallah purva u meeting sid in person will def happn ,positive
 USERNAME: Manila that was huge  I thank you very much ,positive
_Northernerd  Keeps wannabes in their place ,positive
USERNAME Hi  if you call our sales team on 0800 049 0049  they can give you the right advice ,positive
USERNAME Of course! ,positive
She told me take a Picture it last longer and I did  URL,positive
USERNAME GOODMORNING love I can t wait for the video ,positive
USERNAME USERNAME USERNAME USERNAME Same haha  waiting for the sneak peak videos ,positive
USERNAME Welcome ,positive
You re the most beautiful and always the most beautiful ,positive
USERNAME happy birthday ,positive
Thank you USERNAME ,positive
Hello Twitter world  Finally i-open my account again   ,positive
Thank ya   URL,positive
USERNAME have a safe trip by the way ,positive
USERNAME Hey  its the falcon guy here. M me your apple-ID  I ll add you to the beta-tester list.,positive
USERNAME i think.. you do. ,positive
Bay is so tempting even though I have 73p in the bank ,positive
USERNAME This is what we did and it made it infinitely better. ,positive
USERNAME how are my  open when  cards that i gave u in NY??,positive
USERNAME wer is he?   [ Waiting For SULTAN Poster ],positive
USERNAME SO LUCKY! Wish I had the tickets too ,positive
reply to this with a pic of your snap code and I ll add you ,positive
Haha - nice one!  #funny URL URL,positive
[UN-V] USERNAME USERNAME Thanks for joining! ,positive
On the way home  TYL ?,positive
There s more where this is coming from  at my stream  URL URL,positive
 You re all I ever need. Baby you re amazing  you re my angel come you save me.  ,positive
USERNAME xoxoxoxo .. Don t much thinking about me na ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME Roger that! ,positive
USERNAME Ay James  when you uploading another fallout 4 vid brother? I love that series! ,positive
USERNAME you want to come? Tomorrow 6.30pm at East Spring. Bawak $5/- for food ,positive
USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME wealth! ,positive
Friend s Original Artwork... check it out now...  URL via USERNAME,positive
USERNAME the szkDERP and szkREKT are also good. I will make good use of them. Hope you are having a good weekend. ,positive
USERNAME USERNAME it requires course correction all the time ,positive
USERNAME lol whut ,positive
Holy shit! Take this porn survey quickly!! You won t regret it!  URL URL,positive
USERNAME congrats guys! ,positive
USERNAME B has right of way! As for A & C  I d say C first then A ... B C A ,positive
USERNAME USERNAME USERNAME USERNAME Yes really very sweet  loved it,positive
USERNAME USERNAME im sad ,positive
USERNAME Hey Matt! thank you for trying out Hiplay. Let me know if I can help with anything  -Aure,positive
This is like 100 true  URL,positive
It s time not to worry about anything ,positive
USERNAME Hey Hina! My aunt loves you and she absolutely adores you  Could you please send her some love?,positive
There s more where this is coming from  at my stream  URL URL,positive
Alhumdulilah boys played well thanks to everyone for kind of support   #WT20  URL,positive
Better late than never  USERNAME,positive
I will make more tomorrow  if I have time ^^,positive
hehe.Two grandmas  and a lambo.  URL,positive
USERNAME USERNAME Nigel is a Moron  we know he s a Moron. Sing up ,positive
Sunset always reminds me that life is beautiful even if it ends..  #whenincamiguin #summer2016� URL,positive
USERNAME done  URL,positive
Whitney Houston - I Wanna Dance With Somebody URL     ,positive
The second day of the RRI event showed glimpses of a  revolutionary  wing in the RRI community - I say no names!  URL,positive
life with the Tucker and Wolek clan: I love today! -- featuring Amy Tangerine  URL,positive
USERNAME Keeping short hair is the greatest regret in my life. ,positive
Good luck Pradeb!! Do the best!  #AllEnglandKompasTV,positive
me too  URL,positive
USERNAME  any song by the weeknd+ faded by alan walker ,positive
I HATE PHYSICS ,positive
Hii USERNAME  It s Elif s (USERNAME) birthday today and you could make her the happiest with a follow or maybe a birthday tweet! ?,positive
USERNAME USERNAME Wow  that sounds like some pointless . I neither know nor care about your gender in the nicest possible way! ,positive
And just to make my life even worse. Someone crashed into the back of me. So i now have a car thats written off and real bad whiplash ,positive
USERNAME Wish I could do that  Maybe in the future we can  so I ll keep that in mind! Have a nice day and #keepUpTheGoodWork.,positive
Hello Twitter! Finding our feet with our first tweet ,positive
USERNAME USERNAME USERNAME Totally agreed  Gretchen is one of my favorites! Bring back Jodi! ,positive
This Sunday! If you wanna meet me in person and all that jazz  flyer by me! URL,positive
USERNAME USERNAME thank you dipuu ,positive
USERNAME ok - thank you! ,positive
USERNAME Janice sounds great  we ll pass on your kind words  thanks Catherine  ^MW,positive
It s officially wedding season and our calendar is filling up! We are just as giddy as our Brides . For... URL,positive
USERNAME No worries  thanks for replying ,positive
USERNAME I don t even know why but I can t stop smiling alone  it looks creepy but there s no one so ,positive
USERNAME folback ,positive
USERNAME TrackMania ,positive
My pleasure.  You re very welcome.  USERNAME USERNAME USERNAME USERNAME  X X X??,positive
Pycon live stream link is here URL Enjoy ,positive
Tripping on #AncientAliens new season this weekend  #HistoryTV18,positive
Thx Cass udh diRetweet  I am very happy tonight  !! USERNAME #SatniteNyaCVnCassie URL,positive
USERNAME We hope to see you soon  too ,positive
USERNAME yeah  para maka study rin,positive
And it s been a while but I still feel the same. ,positive
USERNAME thank you for developing such an asset ,positive
USERNAME USERNAME Cheers buddy ,positive
USERNAME Do this for your text boxes! ,positive
USERNAME USERNAME USERNAME is it? I m glad I m not Tory then ,positive
USERNAME hahaha bmw is definitely out of my reach Gak gedok mase : ),positive
   when you make plans and actually get excited for once and then ppl bail on you,positive
USERNAME Ireland game at Fooks  and then I m going Taft for England  you can come over here if you want?,positive
NCLC night tomorrow. ,positive
So pretty  URL,positive
#satchat  little late. ,positive
Tennant was amazing  but  D Onofrio as Wilson Fisk/ Kingpin was a bit more compelling...I can do this all day!  URL,positive
give me the light  coz you re my stars ,positive
hope you can BE ABLE to read this  URL,positive
USERNAME USERNAME I ll be there happy we re still top of the league no matter the other results  And to see Billy rock  #twitterclarets,positive
USERNAME hii can you follow me back bc I have to dm you something ,positive
USERNAME I m happy to hear that you managed to get hold of what you need ,positive
very few teachers wld be left  USERNAME USERNAME USERNAME,positive
USERNAME cracking crew on 1143 WGN-GLC. An excellent journey. Thanks Darren and Derek ,positive
Practically doubled my subscribers in the last week! I love you all ,positive
change is good ,positive
Phone become our life n life become internet..... wha.. what a life we live ,positive
I CANT BELIVE THIS SERVER FINALLY OPEN (franch server) I WAIT FOR IT SO MUCH TIME URL come join with me! ,positive
USERNAME   done. Later is better than never ,positive
This is what you need after spending time in the snow  URL,positive
USERNAME cheers bro ,positive
USERNAME are you doing it? ,positive
You mean the Most to God ,positive
Hansonopoly ST social ,positive
USERNAME thankss ,positive
If u want a dozen Krispy Kreme donuts for 1 simple payment of $8  I will legitimately come to ur house and hand deliver them. Hmu yo ,positive
wife: you can t possibly get another bike in your garage. me: i could get at least five more in  challenge accepted : ),positive
Good morning! ,positive
 Bitter Pill  USERNAME is in #RKC 2016 Favorite Tracks ,positive
Had a surprisingly lot of fun in Paris yesterday  URL,positive
#andanotherone #lovethis better!  URL,positive
USERNAME USERNAME They ve already made three as comedies  Episodes I  II and II. Perhaps a Nolan Flash Gordon drenched in realism,positive
Never demand yhang ,positive
Rooms now have tiles and everything!   #screenshotsaturday #indiegamedev URL,positive
USERNAME USERNAME Modi ki congress ?you cant say spiderman #YTFF,positive
URL been watching this on repeat  LOOKS SO GOOD  thanks USERNAME,positive
USERNAME okay ,positive
USERNAME will give you an update about it. ,positive
USERNAME give me yours ,positive
USERNAME  FK I m so funny  Its usually the unfunny people who say that ,positive
USERNAME Damn. 21 Final.!! ,positive
USERNAME beautiful ,positive
Just read the words  crusty piddle  in a book. Thank you  USERNAME ,positive
USERNAME twitter ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
Take A Moment To Appreciate Mother Natures  Creations  URL URL,positive
I will fulfil all your fantasies  URL #selfie #babes #orgy #chatting URL,positive
Stats for the week have arrived. 1 new follower and NO unfollowers  via URL.,positive
and you aren t a real fan. your a hater  and Im now leaving my devil ,positive
USERNAME both ? what about USA  that too was ,positive
You otta read his book  too!USERNAME USERNAME USERNAME  take ya any day of the week #SOA,positive
The best love story is when you fall in love with the most unexpected person at the most unexpected time. ,positive
Paris fashion week may be over but this is still Paris  I love mixing high Street with luxury� URL,positive
truee  URL,positive
Email is OK for transactions  but not for working through differences. Pick up the phone.  URL,positive
my pere was being extra dickheaded today ,positive
I made TCG deckboxes!  via /r/pokemon USERNAME URL,positive
USERNAME couple cups of some strong coffee then you will get your 2nd wind when you need it. ,positive
Agree. I live and learn  URL,positive
USERNAME Oh don�t worry  I will! ,positive
USERNAME I m sure your leap is near my friend ,positive
USERNAME Of course ,positive
USERNAME thankyou!!,positive
USERNAME We d love to have you! You don t need to use GClassroom to use Kaizena. We also have a new iOS app too ,positive
tweepsWhat you saw  what you hear. When you go  leave it here.  Good Aftie tweeps.,positive
I can t wait to take a rest naa yeey. All paid off  this week s all the mental breakdown and stress. No more red bull drinks again. ,positive
USERNAME amazing ,positive
Workin on a Sat  let s goo,positive
USERNAME haha  thanks . What would you choose?,positive
USERNAME fb pls ,positive
Someone who love you  will always know the way to make you happy. ,positive
USERNAME open to max 9 wanna spec so i can join when some1 leaves ,positive
USERNAME That is so true  ???,positive
I m ready to fly!!!! GOT7 �FLIGHT LOG : DEPARTURE� Trailer URL via USERNAME,positive
USERNAME I m so excited for it! ,positive
Happy day  YEHEY! ,positive
USERNAME You re very welcome Soph  please let me know if you need anything else and enjoy the rest of your weekend  - Anth,positive
julia : i love your USERNAME ,positive
USERNAME USERNAME yes it is new ,positive
USERNAME USERNAME USERNAME Thank you so much ,positive
USERNAME y re welcome ,positive
USERNAME good night ,positive
USERNAME thankyou ,positive
USERNAME see you later family games night  xx,positive
HIS VOICE IM SUPER : ) URL,positive
USERNAME USERNAME I m not angry... I think pointing it out is irrelevant. ,positive
USERNAME Yup  just showed your double standards and how hard you try to justify your  Politically correct   ,positive
Its a perfect response! If only id thought of it years ago  so much more appropriate to feeling bad&shutting down  URL,positive
USERNAME speaking of your excellent voice  did I hear it on a commercial for Bai beverages the other day?,positive
USERNAME Hi  we re ever so sorry to hear that. Can you please DM your order details along with your contact number? We ll call you ,positive
USERNAME hi Danika.. have you ever been to Indonesia? #HeroesReborn had a lot of fans in Indonesia ,positive
When #bae to you means #bacon and eggs  #breakfast URL,positive
USERNAME Some devices have been scheduled to receive the OTA this month and I have an E8  so wanted to check ,positive
#TrumpRallyChi thank you Chicago for cementing USERNAME being our next POTUS ,positive
USERNAME USERNAME USERNAME Brilliant! I m looking forward to it ,positive
USERNAME thank you ,positive
we are hoping to see new faces  URL,positive
USERNAME  Yeah  I really should ve reset the leaderboard after 4 weeks of Alpha 6 :/,positive
USERNAME hi brad  if you re not too busy can you follow me please?,positive
Cannot beat a SW breakfast  URL,positive
USERNAME USERNAME very good idea ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
USERNAME i like ur fighting spirit  URL,positive
Goodnight ,positive
Enroute to Gugasthebe to perform so nervous as its my 1st show and mos def not my last  but I ll do my thang though ,positive
USERNAME and you know that I have my family here  though they re a bit... ?p?sdn u?op      ,positive
Awwh... You were babies . USERNAME  USERNAME URL,positive
USERNAME hello you!!! How are you  xx,positive
USERNAME hello ,positive
USERNAME We should talk more then ,positive
USERNAME USERNAME Aww thanks so much for taking the time to read it  Lots of love! ??,positive
USERNAME Hey James Can You Please Dm Me!  ?,positive
USERNAME In book three he ll allow the occasional pet! ,positive
USERNAME hahaha i doubt that s the case  but still it would be nice to see them on the small screen together as actors ,positive
Working together as a team was successful #aja! #ERNOD #WARDNOD #GirlPower,positive
USERNAME USERNAME #excitingpost is the best!! Especially when it s all arty stuff ,positive
USERNAME can t wait ,positive
USERNAME best compliment ever  thanks. ,positive
USERNAME you want printscreen? ,positive
I love when my nose ring falls out while I m asleep ???,positive
New book review from our lecturer USERNAME who s always on about #utopia  URL,positive
Stats for the week have arrived. 1 new follower and NO unfollowers  via URL.,positive
USERNAME hey! Thank you for trying out Hiplay. Let me know if I can help with anything  -Aure,positive
it shouldn t be a  deal  in the first place if u hadn t said shit  I m quoting because I want to   URL,positive
Night ,positive
We have been blessed with some much needed rain  *Justine URL,positive
I love seeing our clients leave such gorgeous reviews  and I love it even more when they add a Salon Selfie Thanks guys x x x,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
I haven t been in a musical in 2 years ,positive
Restyled Irene s wig & like it MUCH better now. It s more natural & less elaborate  but suits me better  #IreneAdler #Sherlock #Cosplay,positive
Stop romanticizing everything ,positive
I like this. Some food for thought on this lovely Saturday morning.  URL,positive
USERNAME Oi Dave  when ever you ve got time over we should play Rocket League together. ,positive
USERNAME That s the sort of nutritional wisdom I ve come to expect from my Twitter friends. Thank you  Ros! ,positive
2 please   USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME #cando,positive
USERNAME oh no.. i m late! do you have a stream link? ,positive
ChinDeep <3Something a little different for lunch or tea time CREAMY CHICKEN SALAD ON A CRUMPET <3... URL,positive
USERNAME USERNAME USERNAME she is a grown WOMAN. use your correct pronouns thank you ,positive
#ON  follow2an yuk! fr : descendants of the sun URL,positive
USERNAME  Keeps wannabes in their place ,positive
USERNAME Died on Codepad  URL,positive
USERNAME yeah. Stress meditation  hatred meditation. One of the best feelings in the world ,positive
USERNAME many of us lost contacts of each other. We spread to those we have the numbers. Nasib I saw your tweet. Teringat you ,positive
USERNAME are you open today?  just turned up and you look closed? ,positive
USERNAME USERNAME Well then I m glad I got my hug in Toronto! Will miss you ,positive
USERNAME masturbate with me ,positive
USERNAME USERNAME USERNAME can I have 25/1 and 8/11 to match what I gave you? ,positive
USERNAME Great to see the new photos of you. All the other re-tweets of the models  well  they couldn t substitute for you! ,positive
ALabyou ? ? : ),positive
USERNAME obviously  your net speed is faster than mine. Aur Bhai jo ho ,positive
USERNAME Jaa!!!! follow mee pls  URL,positive
thank you USERNAME ,positive
congratulation Brofresco and good luck for me   URL,positive
USERNAME your welcome ,positive
Thanks Isabella!!! . USERNAME,positive
Waiting For SULTAN Poster USERNAME huge expectations that USERNAME will be the huge blockbuster ,positive
USERNAME yes yes I dO admit that!,positive
I think I ll keep on a loop on my phone ,positive
#Mortgage #Rates Looking Good For #Spring #Buying Credit: URL URL,positive
USERNAME ha ha same here too ,positive
Hi USERNAME I see you follow music and think you may like  Time  URL .Plz let us know what you think ,positive
Its funny how a taste of your medicine made u sick .. ,positive
USERNAME USERNAME this was 2 yrs ago! She still loves him  USERNAME,positive
omg majority suggested to just stay in bed lol but went out & had a lot of fun today~ even took beautiful photos  URL,positive
Friend s Original Artwork... check it out now...  URL via USERNAME,positive
USERNAME thanks man <3 maturity and internet responsibility is important but some times younger people can make yt a better place.  ,positive
USERNAME ohh she s studying in korea! ,positive
USERNAME Nice work if you can get it ,positive
when did AB change his name USERNAME ? USERNAME #Misbah lol  #RSA #PAK URL,positive
USERNAME perks of being a half-famous ,positive
USERNAME Sure  send me your psn and i ll add you ,positive
My new video is uploaded ! Tell me in the comments below if you enjoyed this #hennatattoo  URL,positive
USERNAME good morning my beautiful friend!!!  URL,positive
It s been our pleasure sir waiting for #manithan  and #Thozha  URL,positive
USERNAME glad to know that ,positive
USERNAME thanks Han  i might make something more like that next time!,positive
USERNAME Hi! I play roblox and I m in DD! My name s iiAstonished. It s really cool seeing someone else who s black in a big role. ,positive
USERNAME well they do  but that s her URL,positive
Happy Birthday !  USERNAME  ,positive
#ON  follow2an yuk! fr : descendants of the sun URL,positive
USERNAME Your face is made for cum ,positive
Morning// Afternoon /Evening// URL s The Saturdays Line Up... URL,positive
I just got 4 shots... I can t feel my arms ,positive
USERNAME wags ,positive
Reasons why we are good friends  I hate u thanks ??? URL,positive
USERNAME I AM NOT DUMB ? I am smart  and this is narcissism ,positive
Doesn t matter it s working again now ,positive
USERNAME I know this probably isn t me but damn that sketch looks so much like me  great job Ceriiu ,positive
Haha...yes o. My hands long pass selfie stick sef.   URL,positive
USERNAME Hello!  URL,positive
Di dapat ako nasasaktan.  Im supposed to be happy.  But why the hell am I so affected?!,positive
USERNAME Congrats Tony! Ay este Bunso  ILY BUNSO MWAA HashtagRyle OnMMK,positive
USERNAME and we have a winner ,positive
My beloved sandok.  URL,positive
USERNAME nice ,positive
Time to look for a new desk! Looking for a L Shape desk but will have to see what I can find. Wish me luck gang ,positive
USERNAME Hello  you have a bank account with dominos  . Do you need a hand with anything? JL,positive
.USERNAME Bird Beats rock!! Jo s posting up the Low-Fi Mix on SC. I ll share the link  USERNAME  URL,positive
USERNAME USERNAME thank you ,positive
USERNAME Fantastic ,positive
Yay it s going to be a beautiful day ,positive
Unver. USERNAME dari kehidupan. Thank you for join ,positive
USERNAME What are your thoughts on Tom Clancy s The Division? Do you like it? ,positive
USERNAME You are duckin  awesome ,positive
USERNAME and i have a video to prove it  lol xx,positive
i love this game for the fact that it s so addicting and it s fucking amazing ,positive
Fiighht Cluub !  URL,positive
USERNAME sUSERNAME crickets so far ,positive
I was having a nice day until I remembered that I have to prepare my portuguese oral evaluation ,positive
So my friend is correct. She told me she doesn t like the place because of the type of people ,positive
USERNAME well a representative democracy with a 5 hurdle would be a start ,positive
USERNAME Happy Birthday ,positive
USERNAME forrest gump ? ,positive
USERNAME Thirty Seconds To Mars  The Killers!!!!! Yaay!,positive
Follow back ate USERNAME  � done na bb. URL,positive
USERNAME well well well  Papadaki is finally on social media  what up?? ,positive
Happy Birthday Madi!!!!! Our friendship goes way back & we ve had such good times  Happy birthday girl  love you? URL,positive
USERNAME  the band i told you to check out are supporting  URL,positive
And this Mod (London based) just popped down to see it.Very few takers so far.  URL,positive
USERNAME yep ,positive
Happy Birthday USERNAME  Irrespective of the language you sing the nativity of the language flows along.  #ALLTIMEFAV,positive
I just ordered a tripod. Yay! I might finally be able to take nice fashion pictures ,positive
USERNAME cos automatic doors can t detect goddesses  URL,positive
USERNAME oh that s not so bad then!  yeah there are some definite comments that make you shake head or facepalm when you read them.,positive
My favorite hobby is over analyzing every single situation to ever occur in my life ,positive
USERNAME listening to Tumbleweed ,positive
USERNAME ifb all  just ask ,positive
USERNAME welcome  -wt,positive
HAHA...Yep...I must confess    URL,positive
USERNAME Rush Rush ..  ,positive
Stay with your love because if you lost it you cant get it back ,positive
Attitude is a little thing that makes a big difference.  #quoteaday #leadership ,positive
The treasures you find when you stalk your daughter s Tumblr account  Looks like she belongs in my next release. #coverreveal,positive
Thank you Robert Swainbank.. in the lead so far  with Bristol  URL,positive
USERNAME to rhyme with keen.  I think the differences in pronunciation are a Great Vowel Shift thing.,positive
Why s the muppet liking your stuff when she knows fuck all lol  safe,positive
#ON  follow2an yuk! fr : descendants of the sun URL,positive
USERNAME  nice editing ,positive
USERNAME thanks. We ll head over after this ,positive
#ON  follow2an yuk! fr : descendants of the sun URL,positive
Oh  this is good hahaha His clothes are always cool  I like    URL,positive
That s a great choice guys!Love this song  #REDTheVoiceStar USERNAME,positive
USERNAME Your taste in men is fucking lovely. I hope you catch me ,positive
